airfoil,pareto_rank,pareto_front,reynolds,best_ld,best_ld_alpha_deg,cl_objective,cl_max,cd_min
UIUC NACA2412,14,False,250000.0,8.505727447757963,12.0,0.1095973630608641,0.12513014870320124,0.014711281248047102
UIUC NACA2412,14,False,500000.0,9.784028780895602,12.0,0.1095973630608641,0.12513014870320124,0.012789225328888208
UIUC NACA2412,14,False,1000000.0,11.173604885218417,12.0,0.1095973630608641,0.12513014870320124,0.011198726819912538
UIUC NACA2412,14,False,2000000.0,12.677828584281142,12.0,0.1095973630608641,0.12513014870320124,0.00986999846790375
UIUC NACA1412,15,False,100000.0,6.5573441581882035,12.0,0.10328185542775212,0.1175469455822657,0.01792599911588962
UIUC NACA1412,15,False,250000.0,7.989760204062647,12.0,0.10328185542775212,0.1175469455822657,0.014712199437787284
UIUC NACA1412,15,False,500000.0,9.190518303006375,12.0,0.10328185542775212,0.1175469455822657,0.012790023555452154
UIUC NACA1412,15,False,1000000.0,10.495801117089647,12.0,0.10328185542775212,0.1175469455822657,0.011199425777120669
UIUC NACA1412,15,False,2000000.0,11.908776870497688,12.0,0.10328185542775212,0.1175469455822657,0.009870614493875659
UIUC NACA0010,16,False,100000.0,5.443078880812284,12.0,0.08351176118419215,0.09395566785397791,0.01726149297324838
UIUC NACA0010,16,False,250000.0,6.632089757738724,12.0,0.08351176118419215,0.09395566785397791,0.014166826940836371
UIUC NACA0010,16,False,500000.0,7.628807467173509,12.0,0.08351176118419215,0.09395566785397791,0.012315904977057798
UIUC NACA0010,16,False,1000000.0,8.712288392900446,12.0,0.08351176118419215,0.09395566785397791,0.010784269713860874
UIUC NACA0010,16,False,2000000.0,9.88516239446881,12.0,0.08351176118419215,0.09395566785397791,0.009504716675828239
UIUC NACA1410,17,False,100000.0,5.3617544811382,12.0,0.08242591574051741,0.09255135635808522,0.017261393949250414
UIUC NACA1410,17,False,250000.0,6.533000486768566,12.0,0.08242591574051741,0.09255135635808522,0.01416674567000746
UIUC NACA1410,17,False,500000.0,7.514826354446279,12.0,0.08242591574051741,0.09255135635808522,0.012315834324411978
UIUC NACA1410,17,False,1000000.0,8.582119119433221,12.0,0.08242591574051741,0.09255135635808522,0.010784207847746289
UIUC NACA1410,17,False,2000000.0,9.737469348857271,12.0,0.08242591574051741,0.09255135635808522,0.009504662150124916
UIUC NACA2410,18,False,100000.0,5.275718599595009,12.0,0.0812523016394485,0.09106485059025612,0.017261127346186875
UIUC NACA2410,18,False,250000.0,6.42817053642703,12.0,0.0812523016394485,0.09106485059025612,0.014166526863936112
UIUC NACA2410,18,False,500000.0,7.394241812143339,12.0,0.0812523016394485,0.09106485059025612,0.01231564410575579
UIUC NACA2410,18,False,1000000.0,8.444408564698465,12.0,0.0812523016394485,0.09106485059025612,0.010784041285135035
UIUC NACA2410,18,False,2000000.0,9.581219792415274,12.0,0.0812523016394485,0.09106485059025612,0.009504515350158784
UIUC NACA2411,19,False,100000.0,5.235528425968843,12.0,0.07623120346482395,0.09208338821559939,0.01758817462605204
UIUC NACA2411,19,False,250000.0,6.3792010387025995,12.0,0.07623120346482395,0.09208338821559939,0.01443494062296041
UIUC NACA2411,19,False,500000.0,7.337912829341508,12.0,0.07623120346482395,0.09208338821559939,0.012548989114097013
UIUC NACA2411,19,False,1000000.0,8.380079461472308,12.0,0.07623120346482395,0.09208338821559939,0.010988366952718744
UIUC NACA2411,19,False,2000000.0,9.508230515269751,12.0,0.07623120346482395,0.09208338821559939,0.00968459778796044
UIUC NACA0008,20,False,100000.0,4.232082742525345,12.0,0.06433215758350509,0.0704118758686223,0.01663764159455127
UIUC NACA0008,20,False,250000.0,5.156558121828386,12.0,0.06433215758350509,0.0704118758686223,0.013654820561521376
UIUC NACA0008,20,False,500000.0,5.931522422297766,12.0,0.06433215758350509,0.0704118758686223,0.011870793171737854
UIUC NACA0008,20,False,1000000.0,6.773946540711436,12.0,0.06433215758350509,0.0704118758686223,0.010394513072320064
UIUC NACA0008,20,False,2000000.0,7.685875235827716,12.0,0.06433215758350509,0.0704118758686223,0.009161204639440056
UIUC NACA1408,21,False,100000.0,4.122295729983937,12.0,0.06259869980076439,0.06858532095422132,0.01663765179566304
UIUC NACA1408,21,False,250000.0,5.022788735539436,12.0,0.06259869980076439,0.06858532095422132,0.013654828933762714
UIUC NACA1408,21,False,500000.0,5.777649219389198,12.0,0.06259869980076439,0.06858532095422132,0.011870800450130482
UIUC NACA1408,21,False,1000000.0,6.598219505333072,12.0,0.06259869980076439,0.06858532095422132,0.010394519445554456
UIUC NACA1408,21,False,2000000.0,7.486491307808386,12.0,0.06259869980076439,0.06858532095422132,0.009161210256490521
